[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,755: <2017-08-24 17:47:10,754686, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,763: <2017-08-24 17:47:10,763365, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,767: <2017-08-24 17:47:10,766914, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,770: <2017-08-24 17:47:10,770193, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,773: <2017-08-24 17:47:10,773342, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,777: <2017-08-24 17:47:10,776874, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,780: <2017-08-24 17:47:10,780494, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,784: <2017-08-24 17:47:10,783805, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,787: <2017-08-24 17:47:10,787400, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,790: <2017-08-24 17:47:10,790379, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,793: <2017-08-24 17:47:10,792695, actuators, h, command>
[PiCamera @ picamera.py:126][DEBUG] 2017-08-24 17:47:10,807: frame #11
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,809: <2017-08-24 17:47:10,809211, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,826: <2017-08-24 17:47:10,825727, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,830: <2017-08-24 17:47:10,829949, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,833: <2017-08-24 17:47:10,833506, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,837: <2017-08-24 17:47:10,836912, actuators, h, command>
[Leona @ stream.py:580][DEBUG] 2017-08-24 17:47:10,841: <2017-08-24 17:47:10,841194, actuators, h, command>
